# StartTime = 05/03/2019 11:03:11.7297 AM
# FuelCalculationMethod = MassAirFlow
Time (sec), Vehicle speed (MPH), Absolute throttle position (%), Calculated load value (%), Distance traveled while MIL is activated (miles), Engine coolant temperature (F), Engine RPM (RPM), Ignition timing advance for #1 cylinder (deg), Input voltage read by the scan tool (V), Intake air temperature (F), Intake manifold absolute pressure (inHg), Mass air flow rate (lb/min), OBD requirements to which vehicle or engine is certified, Fuel rate (gal/hr), Instant fuel economy (MPG), Total fuel economy (MPG)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0,0
0.182,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0,0
0.246,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0,0
0.308,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0,0
0.373,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0,0
0.436,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0,0
0.495,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0,0
0.559,0,10.58823,0,0,0,0,0,12.9,0,0,0,0,0,0,0
0.624,0,10.58823,0,0,0,0,0,12.9,0,0,0,0,0,0,0
0.685,0,10.58823,26.27451,0,0,0,0,12.9,0,0,0,0,0,0,0
0.748,0,10.58823,26.27451,0,0,0,0,12.9,0,0,0,0,0,0,0
0.81,0,10.58823,26.27451,0,0,0,0,12.9,0,0,0,0,0,0,0
0.87,0,10.58823,26.27451,0,0,0,0,12.9,0,0,0,0,0,0,0
0.935,0,10.58823,26.27451,0,0,0,0,12.9,0,0,0,0,0,0,0
0.996,0,10.58823,26.27451,0,69.8,0,0,12.9,0,0,0,0,0,0,0
1.059,0,10.58823,26.27451,0,69.8,0,0,12.9,0,0,0,0,0,0,0
1.122,0,10.58823,26.27451,0,69.8,1164,0,12.9,0,0,0,0,0,0,0
1.185,0,10.58823,26.27451,0,69.8,1164,0,12.9,0,0,0,0,0,0,0
1.249,0,10.58823,26.27451,0,69.8,1164,0,12.9,0,0,0,0,0,0,0
1.309,0,10.58823,26.27451,0,69.8,1164,4,12.9,0,0,0,0,0,0,0
1.374,0,10.58823,26.27451,0,69.8,1164,4,12.9,0,0,0,0,0,0,0
1.432,0,10.58823,26.27451,0,69.8,1164,4,12.9,64.4,0,0,0,0,0,0
1.497,0,10.58823,26.27451,0,69.8,1164,4,12.9,64.4,0,0,0,0,0,0
1.56,0,10.58823,26.27451,0,69.8,1164,4,12.9,64.4,0,0,0,0,0,0
1.621,0,10.58823,26.27451,0,69.8,1164,4,12.9,64.4,64.67092,0,0,0,0,0
1.683,0,10.58823,26.27451,0,69.8,1164,4,12.9,64.4,64.67092,0,0,0,0,0
1.748,0,10.58823,26.27451,0,69.8,1164,4,12.9,64.4,64.67092,0,5,0,0,0
1.809,0,10.58823,26.27451,0,69.8,1164,4,12.9,64.4,64.67092,0,5,0,0,0
1.873,0,10.58823,26.27451,0,69.8,1164,4,12.9,64.4,64.67092,0,5,0,0,0
1.934,0,10.58823,26.27451,0,69.8,1164,4,12.9,64.4,64.67092,0,5,0,0,0
1.998,0,10.58823,26.27451,0,69.8,1164,4,12.9,64.4,64.67092,0,5,0,0,0
2.06,0,10.58823,26.27451,0,69.8,1164,4,12.9,64.4,64.67092,0,5,0,0,0
2.123,0,10.58823,26.27451,0,69.8,1164,4,12.9,64.4,64.67092,0,5,0,0,0
